identifier,numunitid,count,min,max,mean,quantile_10,quantile_20,quantile_30,quantile_40,quantile_50,quantile_60,quantile_70,quantile_80,quantile_90
1....00,139,9,0.365,509.0,65.51255,0.39,0.405,0.405,0.423,0.43,4.6,31.0,31.0,43.0
1....00,431,7,0.7,80.0,15.61,2.7,2.7,2.97,2.97,4.2,5.5,5.5,13.2,13.2
1....00,218,5,2.73,137.0,61.218,2.73,4.36,4.36,26.0,26.0,26.0,136.0,136.0,137.0
1....00,134,4,8.9,90.1,29.375,8.9,9.1,9.1,9.1,9.4,9.4,9.4,9.4,90.1
1....00,229,3,0.5,1.8,0.9666667,0.5,0.5,0.6,0.6,0.6,0.6,0.6,1.8,1.8
1....00,307,3,176.0,264.0,231.0,176.0,176.0,253.0,253.0,253.0,253.0,253.0,264.0,264.0
1....00,213,2,13.0,17.0,15.0,13.0,13.0,13.0,13.0,17.0,17.0,17.0,17.0,17.0
1....00,233,1,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0
1....00,1,1,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4
1....00,1243,1,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0
1....00,154,1,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0
1....00,285,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
122..00,13750,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12C..00,309,118,35.0,85.0,60.991524,50.0,52.0,56.0,58.0,60.0,65.0,68.0,70.0,73.0
12C..00,308,50,45.0,1994.0,145.34,58.0,59.0,62.0,65.0,70.0,72.0,73.0,78.0,85.0
12C..00,4315,24,50.0,87.0,71.666664,58.0,69.0,69.0,69.0,69.0,70.0,73.0,83.0,87.0
12C..00,629,4,55.0,71.0,59.75,55.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,71.0
12C..00,8978,2,65.0,74.0,69.5,65.0,65.0,65.0,65.0,74.0,74.0,74.0,74.0,74.0
12C..00,8965,2,70.0,71.0,70.5,70.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0
12C..00,13750,2,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
12C..00,8963,1,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
12C..00,747,1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
136..00,290,39,0.0,56.0,15.128205,0.0,0.0,0.0,1.0,6.0,16.0,24.0,30.0,40.0
137..00,141,75,0.0,2004.0,135.51334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0
137..00,118,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137..00,247,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137..00,98,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137..00,1551,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138..00,165,765,1.0,7.0,4.628758,2.0,3.0,3.0,4.0,5.0,5.0,6.0,7.0,7.0
138..00,130,481,0.0,7.0,4.3783784,2.0,3.0,3.0,4.0,5.0,5.0,5.0,7.0,7.0
138..00,222,375,1.0,7.0,4.888,3.0,3.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0
138..00,127,17,2.0,7.0,4.7058825,2.0,2.0,3.0,3.0,4.0,7.0,7.0,7.0,7.0
138..00,273,9,2.0,7.0,4.6666665,3.0,3.0,3.0,3.0,5.0,5.0,7.0,7.0,7.0
138..00,7051,8,1.0,20.0,9.75,1.0,1.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0
138..00,128,8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
138..00,45,4,1.0,2.0,1.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
138..00,1674,3,0.0,10.0,4.3333335,0.0,0.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0
138..00,1901,2,4.0,5.0,4.5,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
138..00,5683,2,5.0,6.0,5.5,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0
138..00,996,2,5.0,7.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0
138..00,9815,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
138..00,806,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
13C..00,2172,151,0.0,120.0,27.225166,0.0,5.0,10.0,20.0,20.0,30.0,30.0,40.0,60.0
13C..00,4672,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
13D..00,308,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13F..00,1042,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13G..00,273,1059,0.0,28.0,1.1864967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
13G..00,130,238,0.0,7.0,0.6554622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13G..00,3084,2,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0
13G..00,20059,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13G..00,1253,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
13G..00,3732,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13J..00,148,100,0.0,32.0,17.4,5.0,10.0,14.0,16.0,17.0,20.0,22.0,24.0,30.0
13J..00,129,30,0.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13J..00,128,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13J..00,299,7,4.0,8.0,4.571429,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
13J..00,835,5,2.0,30.0,10.2,2.0,2.0,2.0,6.0,6.0,6.0,11.0,11.0,30.0
